   n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, radix_cmp, radix_swaps, radix_time
   0,             0,               0,              2,             0,               0,              1,         0,           0,          1,         0,           0,          0,         0,           0,          6
   1,             0,               0,              1,             0,               0,              1,         0,           0,          0,         0,           0,          0,         1,           0,          9
   2,             1,               0,              2,             1,               0,              2,         5,           2,          7,         1,           0,          3,         2,           0,         27
   3,             3,               2,              5,             3,               2,              4,         6,           4,          6,         3,           0,          5,         3,           0,         16
   4,             4,               2,              5,             6,               2,              5,        14,           6,         12,         5,           0,          6,         4,           0,         19
   5,             5,               2,              5,            10,               2,              7,        14,           6,         10,         6,           0,          7,         5,           0,         21
   6,             6,               2,              6,            15,               2,              8,        21,           8,         15,         8,           0,         10,         6,           0,         25
   7,             7,               2,              6,            21,               2,             10,        26,          10,         18,        10,           0,         12,         7,           0,         27
   8,             8,               2,              7,            28,               2,             13,        29,          10,         18,        14,           0,         14,         8,           0,         30
   9,             9,               2,              7,            36,               2,             15,        38,          12,         25,        15,           0,         15,         9,           0,         34
  10,            10,               2,              8,            45,               2,             18,        44,          14,         27,        16,           0,         16,        10,           0,         41
  11,            11,               2,              9,            55,               2,             21,        46,          14,         28,        19,           0,         18,        11,           0,         44
  12,            13,               3,             10,            66,               3,             26,        49,          15,         29,        22,           0,         20,        12,           0,         47
  13,            14,               3,             10,            78,               3,             29,        57,          17,         34,        25,           0,         22,        13,           0,         49
  14,            15,               3,             11,            91,               3,             33,        66,          19,         39,        26,           0,         24,        14,           0,         52
  15,            16,               3,             11,           105,               3,             38,        71,          21,         42,        31,           0,         27,        15,           0,         55
  16,            17,               3,             12,           120,               3,             42,        79,          23,         46,        34,           0,         36,        16,           0,         66
  17,            19,               4,             13,           136,               4,             47,        78,          22,         48,        35,           0,         31,        17,           0,         63
  18,            20,               4,             14,           153,               4,             53,        90,          24,         50,        40,           0,         33,        18,           0,         93
  19,            21,               4,             17,           171,               4,             59,        95,          26,         55,        41,           0,         37,        19,           0,         71
  20,            23,               5,             16,           190,               5,             65,       103,          29,         59,        42,           0,         37,        20,           0,         72
  21,            25,               6,             17,           210,               6,             70,       106,          28,         58,        46,           0,         39,        21,           0,         75
  22,            26,               6,             17,           231,               6,             77,       115,          30,         63,        52,           0,         42,        22,           0,         78
  23,            27,               6,             19,           253,               6,             84,       124,          34,         69,        52,           0,         43,        23,           0,         80
  24,            28,               6,             19,           276,               6,             90,       131,          36,         73,        57,           0,         46,        24,           0,         84
  25,            29,               6,             19,           300,               6,             99,       133,          34,         74,        60,           0,         49,        25,           0,         89
  26,            31,               7,             21,           325,               7,            106,       132,          33,         71,        64,           0,         50,        26,           0,         91
  27,            33,               8,             23,           351,               8,            117,       141,          36,         78,        68,           0,         54,        27,           0,         94
  28,            36,              10,             24,           378,               8,            125,       150,          38,         82,        67,           0,         54,        28,           0,         97
  29,            37,              10,             25,           406,               8,            132,       163,          44,         89,        74,           0,         58,        29,           0,        100
