  n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, radix_cmp, radix_swaps, radix_time
  0,             0,               0,              3,             0,               0,              2,         0,           0,          2,         0,           0,          2,         0,           0,         10
  1,             0,               0,              2,             0,               0,              2,         0,           0,          1,         0,           0,          0,         1,           0,         14
  2,             1,               0,              3,             1,               0,              3,         5,           2,         14,         1,           0,          5,         2,           0,         41
  3,             2,               0,              3,             3,               0,             19,         6,           2,         13,         2,           0,          8,         3,           0,         86
  4,             4,               1,              7,             6,               1,              7,        12,           5,         14,         4,           0,         10,         4,           0,         31
  5,             5,               1,              6,            10,               1,              9,        16,           5,         16,         6,           0,         12,         5,           0,         31
  6,             9,               4,             12,            15,               2,             17,        20,           8,         24,        10,           0,         18,         6,           0,         81
  7,            12,               6,             17,            21,               2,             15,        29,           9,         33,        12,           0,         19,         7,           0,         37
  8,            13,               6,             16,            28,               2,             17,        33,          12,         31,        15,           0,         22,         8,           0,         37
  9,            14,               6,             17,            36,               2,             22,        39,          12,         35,        16,           0,         24,         9,           0,         41
 10,            16,               7,             19,            45,               3,             27,        41,          13,         37,        18,           0,         27,        10,           0,         44
 11,            18,               8,             20,            55,               4,             31,        50,          16,         44,        21,           0,         30,        11,           0,         50
 12,            19,               8,             22,            66,               4,             39,        61,          18,         52,        26,           0,         38,        12,           0,         53
 13,            20,               8,             23,            78,               4,             41,        62,          18,         52,        28,           0,         37,        13,           0,         56
 14,            21,               8,             22,            91,               4,             47,        72,          20,         60,        29,           0,         40,        14,           0,         60
 15,            22,               8,             23,           105,               4,             53,        73,          21,         60,        32,           0,         43,        15,           0,         63
 16,            23,               8,             24,           120,               4,             60,        77,          21,         63,        37,           0,         53,        16,           0,        121
 17,            24,               8,             29,           136,               4,             69,        83,          22,         71,        38,           0,         53,        17,           0,         75
 18,            25,               8,             26,           153,               4,             75,        86,          22,         72,        40,           0,         54,        18,           0,         76
 19,            27,               9,             28,           171,               5,             84,        98,          29,         81,        43,           0,         58,        19,           0,         78
 20,            28,               9,             29,           190,               5,             91,       104,          29,         85,        45,           0,         60,        20,           0,         93
 21,            29,               9,             29,           210,               5,            101,       110,          29,         88,        47,           0,         64,        21,           0,         98
 22,            30,               9,             29,           231,               5,            112,       119,          31,         96,        50,           0,         67,        22,           0,        104
 23,            31,               9,             31,           253,               5,            120,       124,          31,         99,        54,           0,         71,        23,           0,        109
 24,            32,               9,             33,           276,               5,            134,       132,          33,        108,        59,           0,         77,        24,           0,        118
 25,            33,               9,             34,           300,               5,            147,       138,          33,        129,        61,           0,         70,        25,           0,        109
 26,            34,               9,             29,           325,               5,            140,       145,          35,        102,        64,           0,         71,        26,           0,        107
 27,            35,               9,             30,           351,               5,            142,       148,          35,        101,        68,           0,         75,        27,           0,        110
 28,            37,              10,             31,           378,               6,            150,       152,          36,        104,        69,           0,         80,        28,           0,        118
 29,            39,              11,             33,           406,               7,            176,       165,          39,        183,        73,           0,        127,        29,           0,        136
 30,            40,              11,             33,           435,               7,            213,       180,          43,        125,        77,           0,         83,        30,           0,        135
 31,            41,              11,             36,           465,               7,            196,       174,          42,        122,        81,           0,         91,        31,           0,        137
 32,            42,              11,             36,           496,               7,            201,       183,          44,        159,        87,           0,        179,        32,           0,        191
 33,            43,              11,             33,           528,               7,            183,       190,          44,        112,        88,           0,         81,        33,           0,        116
 34,            44,              11,             32,           561,               7,            193,       192,          44,        113,        89,           0,         81,        34,           0,        120
 35,            46,              12,             33,           595,               8,            204,       203,          46,        126,        91,           0,         86,        35,           0,        122
 36,            48,              13,             35,           630,               9,            228,       205,          46,        113,        97,           0,         84,        36,           0,        124
 37,            50,              14,             35,           666,              10,            221,       213,          48,        123,       101,           0,         87,        37,           0,        126
 38,            55,              18,             40,           703,               8,            233,       226,          52,        126,       103,           0,         90,        38,           0,        126
 39,            56,              18,             40,           741,               8,            299,       238,          56,        136,       109,           0,        108,        39,           0,        150
 40,            57,              18,             40,           780,               8,            326,       247,          58,        153,       111,           0,        103,        40,           0,        147
 41,            58,              18,             40,           820,               8,            261,       254,          58,        166,       113,           0,         97,        41,           0,        140
 42,            59,              18,             41,           861,               8,            277,       260,          60,        151,       115,           0,        100,        42,           0,        163
 43,            61,              19,             42,           903,               9,            303,       264,          59,        144,       118,           0,        152,        43,           0,        220
 44,            63,              20,             71,           946,              10,            332,       271,          60,        148,       123,           0,        102,        44,           0,        158
 45,            65,              21,             67,           990,              11,            510,       283,          63,        211,       128,           0,        127,        45,           0,        203
 46,            66,              21,             46,          1035,              11,            328,       292,          65,        155,       134,           0,        101,        46,           0,        149
 47,            67,              21,             45,          1081,              11,            342,       302,          65,        160,       136,           0,        102,        47,           0,        151
 48,            68,              21,             45,          1128,              11,            355,       306,          65,        161,       144,           0,        107,        48,           0,        155
 49,            69,              21,             47,          1176,              11,            382,       307,          67,        162,       146,           0,        109,        49,           0,        161
 50,            71,              22,             49,          1225,              12,            393,       325,          70,        179,       147,           0,        118,        50,           0,        178
 51,            72,              22,             63,          1275,              12,            513,       325,          70,        189,       151,           0,        123,        51,           0,        289
 52,            73,              22,             56,          1326,              12,            427,       337,          72,        186,       154,           0,        121,        52,           0,        210
 53,            75,              23,             53,          1378,              13,            496,       341,          73,        189,       159,           0,        124,        53,           0,        410
 54,            77,              24,             57,          1431,              14,            548,       343,          72,        192,       163,           0,        161,        54,           0,        248
 55,            78,              24,             57,          1485,              14,            470,       369,          80,        294,       171,           0,        127,        55,           0,        184
 56,            80,              25,             72,          1540,              15,            491,       370,          81,        199,       172,           0,        136,        56,           0,        191
 57,            81,              25,             55,          1596,              15,            507,       370,          79,        196,       175,           0,        132,        57,           0,        185
 58,            82,              25,             56,          1653,              15,            527,       375,          79,        208,       176,           0,        135,        58,           0,        291
 59,            83,              25,             98,          1711,              15,            884,       399,          85,        350,       181,           0,        191,        59,           0,        337
 60,            85,              26,             64,          1770,              16,            974,       404,          86,        271,       183,           0,        147,        60,           0,        255
 61,            86,              26,             62,          1830,              16,            605,       422,          88,        302,       189,           0,        235,        61,           0,        447
 62,            87,              26,            104,          1891,              16,            945,       425,          90,        365,       195,           0,        166,        62,           0,        771
 63,            88,              26,             77,          1953,              16,            795,       414,          87,        234,       203,           0,        158,        63,           0,        240
 64,            89,              26,             80,          2016,              16,           1107,       422,          89,        263,       206,           0,        156,        64,           0,        320
 65,            90,              26,             62,          2080,              16,            981,       436,          93,        342,       207,           0,        210,        65,           0,        275
 66,            91,              26,             63,          2145,              16,            808,       438,          93,        340,       210,           0,        267,        66,           0,        441
 67,            92,              26,            114,          2211,              16,           1016,       452,          94,        240,       208,           0,        253,        67,           0,        251
 68,            94,              27,             63,          2278,              17,            725,       458,          95,        258,       219,           0,        179,        68,           0,        293
 69,            97,              29,             72,          2346,              17,            775,       455,          92,        258,       220,           0,        171,        69,           0,        286
 70,           100,              31,            126,          2415,              19,            836,       477,         100,        286,       225,           0,        314,        70,           0,        312
 71,           101,              31,             68,          2485,              19,            805,       484,          97,        274,       225,           0,        194,        71,           0,        261
 72,           102,              31,             72,          2556,              19,            815,       497,         101,        279,       232,           0,        176,        72,           0,        347
 73,           104,              32,             82,          2628,              20,           1477,       499,         100,        329,       232,           0,        177,        73,           0,        271
 74,           106,              33,             72,          2701,              21,            863,       506,         103,        267,       239,           0,        177,        74,           0,        242
 75,           107,              33,             70,          2775,              21,           1071,       542,         106,        302,       241,           0,        198,        75,           0,        338
 76,           108,              33,             90,          2850,              21,            905,       553,         108,        487,       246,           0,        204,        76,           0,        370
 77,           109,              33,             76,          2926,              21,            933,       538,         113,        306,       251,           0,        202,        77,           0,        419
 78,           111,              34,             86,          3003,              22,            964,       548,         112,        316,       252,           0,        195,        78,           0,        358
 79,           112,              34,             87,          3081,              22,            958,       566,         118,        557,       258,           0,        202,        79,           0,        313
 80,           113,              34,             75,          3160,              22,           1049,       572,         118,        366,       262,           0,        203,        80,           0,        411
 81,           114,              34,             97,          3240,              22,           1147,       576,         122,        302,       263,           0,        195,        81,           0,        282
 82,           115,              34,             79,          3321,              22,           1080,       585,         122,        319,       266,           0,        196,        82,           0,        288
 83,           116,              34,             96,          3403,              22,           1151,       593,         118,        305,       271,           0,        199,        83,           0,        269
 84,           117,              34,             84,          3486,              22,           1075,       604,         120,        306,       273,           0,        198,        84,           0,        258
 85,           118,              34,             76,          3570,              22,           1108,       618,         126,        314,       277,           0,        201,        85,           0,        260
 86,           119,              34,            100,          3655,              22,           1121,       621,         126,        318,       280,           0,        207,        86,           0,        272
 87,           120,              34,             77,          3741,              22,           1146,       629,         128,        376,       283,           0,        209,        87,           0,        278
 88,           121,              34,             78,          3828,              22,           1186,       633,         128,        324,       290,           0,        212,        88,           0,        283
 89,           122,              34,             78,          3916,              22,           1201,       641,         128,        325,       292,           0,        214,        89,           0,        286
 90,           124,              35,             79,          4005,              23,           1235,       651,         131,        332,       298,           0,        215,        90,           0,        273
 91,           125,              35,             79,          4095,              23,           1256,       670,         129,        339,       300,           0,        217,        91,           0,        276
 92,           126,              35,             80,          4186,              23,           1283,       678,         131,        344,       308,           0,        228,        92,           0,        281
 93,           128,              36,             81,          4278,              24,           1308,       697,         136,        354,       312,           0,        225,        93,           0,        285
 94,           129,              36,             82,          4371,              24,           1341,       692,         136,        351,       320,           0,        227,        94,           0,        291
 95,           130,              36,             83,          4465,              24,           1436,       691,         132,        351,       319,           0,        232,        95,           0,        308
 96,           131,              36,             83,          4560,              24,           1397,       703,         136,        354,       329,           0,        234,        96,           0,        292
 97,           132,              36,             83,          4656,              24,           1421,       707,         138,        356,       331,           0,        237,        97,           0,        299
 98,           134,              37,             84,          4753,              25,           1463,       717,         139,        362,       340,           0,        240,        98,           0,        300
 99,           136,              38,             86,          4851,              26,           1486,       726,         138,        364,       343,           0,        243,        99,           0,        300
100,           137,              38,             87,          4950,              26,           1510,       735,         138,        369,       337,           0,        242,       100,           0,        301
