 n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, radix_cmp, radix_swaps, radix_time
 0,             0,               0,              1,             0,               0,              2,         0,           0,          1,         0,           0,          1,         0,           0,          6
 1,             0,               0,              1,             0,               0,              1,         0,           0,          0,         0,           0,          1,         1,           0,          9
 2,             1,               0,              2,             1,               0,              2,         5,           2,          9,         1,           0,          4,         2,           0,         28
 3,             2,               0,              4,             3,               0,              4,         6,           2,          8,         2,           0,          7,         3,           0,         25
 4,             3,               0,              4,             6,               0,              5,        12,           4,         14,         4,           0,          9,         4,           0,         29
 5,             4,               0,              4,            10,               0,              8,        18,           6,         19,         5,           0,         10,         5,           0,         33
 6,             6,               1,              8,            15,               1,             12,        20,           7,         21,         8,           0,         15,         6,           0,         38
 7,            10,               4,             13,            21,               3,             15,        22,           8,         23,         9,           0,         17,         7,           0,         41
 8,            11,               4,             13,            28,               3,             18,        31,          10,         29,        15,           0,         22,         8,           0,         46
 9,            12,               4,             14,            36,               3,             23,        43,          14,         40,        16,           0,         25,         9,           0,         54
10,            13,               4,             16,            45,               3,             27,        49,          16,         46,        17,           0,         26,        10,           0,         56
