   n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, radix_cmp, radix_swaps, radix_time
   0,             0,               0,              1,             0,               0,              2,         0,           0,          2,         0,           0,          0,         0,           0,          7
   1,             0,               0,              1,             0,               0,              2,         0,           0,          1,         0,           0,          0,         1,           0,         12
   2,             1,               0,              3,             1,               0,              2,         5,           2,         10,         1,           0,          4,         2,           0,         44
   3,             3,               1,              5,             3,               1,              4,         6,           3,          8,         2,           0,          6,         3,           0,         26
   4,             4,               1,              5,             6,               1,              5,        14,           5,         13,         5,           0,          8,         4,           0,         30
   5,             8,               4,              9,            10,               2,              7,        14,           6,         13,         8,           0,         11,         5,           0,         32
   6,            11,               6,             11,            15,               2,              9,        22,           8,         18,        10,           0,         12,         6,           0,         33
   7,            16,              10,             17,            21,               4,             13,        31,          12,         26,        13,           0,         15,         7,           0,         37
   8,            20,              13,             21,            28,               5,             16,        33,          13,         27,        16,           0,         19,         8,           0,         39
   9,            26,              18,             27,            36,               6,             20,        45,          16,         34,        19,           0,         19,         9,           0,         41
  10,            28,              19,             29,            45,               7,             23,        48,          17,         36,        25,           0,         23,        10,           0,         46
  11,            30,              20,             31,            55,               8,             28,        56,          22,         43,        27,           0,         25,        11,           0,         50
  12,            33,              22,             34,            66,               8,             33,        61,          24,         46,        28,           0,         27,        12,           0,         53
  13,            34,              22,             35,            78,               8,             36,        74,          26,         54,        32,           0,         30,        13,           0,         58
  14,            42,              29,             42,            91,               9,             42,        70,          21,         49,        38,           0,         33,        14,           0,         60
  15,            51,              37,             53,           105,              11,             48,        77,          27,         55,        42,           0,         36,        15,           0,         61
  16,            62,              47,             64,           120,              13,             54,        83,          31,         60,        46,           0,         39,        16,           0,         64
  17,            78,              62,             81,           136,              12,             60,        94,          30,         65,        51,           0,         42,        17,           0,         66
  18,            91,              74,             96,           153,              16,             67,       110,          36,         76,        53,           0,         45,        18,           0,         69
  19,            96,              78,            101,           171,              16,             75,       110,          34,         75,        59,           0,         49,        19,           0,         72
  20,           110,              91,            116,           190,              17,             82,       123,          43,         87,        66,           0,         53,        20,           0,         74
  21,           128,             108,            136,           210,              18,             91,       140,          40,         94,        72,           0,         57,        21,           0,         77
  22,           131,             110,            140,           231,              18,             98,       139,          40,         93,        75,           0,         58,        22,           0,         81
  23,           132,             110,            139,           253,              18,            105,       158,          44,        103,        76,           0,         62,        23,           0,         85
  24,           154,             131,            164,           276,              19,            114,       160,          51,        109,        80,           0,         64,        24,           0,         87
  25,           176,             152,            188,           300,              16,            122,       159,          44,        105,        84,           0,         66,        25,           0,         89
  26,           189,             164,            202,           325,              20,            133,       167,          54,        117,        92,           0,         71,        26,           0,         91
  27,           213,             187,            235,           351,              21,            144,       185,          53,        124,        95,           0,         75,        27,           0,         94
  28,           235,             208,            251,           378,              24,            154,       190,          58,        127,       104,           0,         79,        28,           0,         95
  29,           250,             222,            324,           406,              26,            150,       195,          62,        118,       108,           0,         73,        29,           0,         91
  30,           266,             237,            253,           435,              27,            156,       205,          63,        123,       113,           0,         76,        30,           0,         88
  31,           275,             245,            268,           465,              27,            167,       213,          69,        128,       117,           0,         79,        31,           0,         92
  32,           286,             255,            272,           496,              29,            176,       226,          73,        135,       120,           0,         80,        32,           0,         93
  33,           312,             280,            298,           528,              30,            188,       252,          78,        148,       126,           0,         85,        33,           0,         95
  34,           342,             309,            328,           561,              27,            200,       258,          77,        151,       133,           0,         88,        34,           0,         97
  35,           373,             339,            361,           595,              31,            210,       267,          83,        157,       136,           0,         91,        35,           0,        100
  36,           385,             350,            371,           630,              32,            222,       263,          84,        157,       145,           0,         95,        36,           0,        102
  37,           414,             378,            404,           666,              32,            238,       284,          90,        168,       147,           0,         97,        37,           0,        102
  38,           437,             400,            422,           703,              32,            244,       282,          92,        175,       152,           0,         99,        38,           0,        105
  39,           457,             419,            444,           741,              35,            260,       301,          91,        180,       160,           0,        104,        39,           0,        108
  40,           482,             443,            472,           780,              37,            271,       295,          95,        176,       169,           0,        109,        40,           0,        109
  41,           513,             473,            496,           820,              37,            284,       319,          89,        184,       175,           0,        112,        41,           0,        109
  42,           535,             494,            518,           861,              36,            302,       315,          98,        184,       178,           0,        113,        42,           0,        112
  43,           573,             531,            539,           903,              39,            288,       339,          99,        183,       183,           0,        108,        43,           0,        104
  44,           580,             537,            519,           946,              39,            302,       351,          99,        193,       193,           0,        113,        44,           0,        108
  45,           618,             574,            556,           990,              40,            351,       373,         108,        199,       199,           0,        115,        45,           0,        112
  46,           622,             577,            808,          1035,              41,            330,       383,         105,        208,       197,           0,        117,        46,           0,        124
  47,           656,             610,            589,          1081,              44,            342,       400,         104,        209,       200,           0,        118,        47,           0,        116
  48,           692,             645,            621,          1128,              43,            354,       405,         111,        221,       206,           0,        122,        48,           0,        118
  49,           720,             672,            647,          1176,              40,            370,       413,         116,        220,       212,           0,        125,        49,           0,        143
  50,           735,             686,            662,          1225,              46,            386,       414,         124,        374,       219,           0,        129,        50,           0,        125
  51,           776,             726,            743,          1275,              44,            400,       439,         120,        231,       229,           0,        132,        51,           0,        191
  52,           789,             738,           1050,          1326,              46,            423,       413,         126,        227,       232,           0,        137,        52,           0,        144
  53,           791,             739,            717,          1378,              47,            432,       455,         129,        243,       236,           0,        137,        53,           0,        130
  54,           832,             779,            954,          1431,              49,            502,       462,         131,        304,       244,           0,        218,        54,           0,        182
  55,           863,             809,            781,          1485,              51,            465,       470,         139,        289,       248,           0,        145,        55,           0,        137
