  n, insertion_cmp, insertion_swaps, insertion_time, selection_cmp, selection_swaps, selection_time, quick_cmp, quick_swaps, quick_time, merge_cmp, merge_swaps, merge_time, radix_cmp, radix_swaps, radix_time
  0,             0,               0,              1,             0,               0,              1,         0,           0,          2,         0,           0,          1,         0,           0,          4
  1,             0,               0,              1,             0,               0,              1,         0,           0,          0,         0,           0,          0,         1,           0,          7
  2,             1,               1,              3,             1,               1,              3,         5,           3,          7,         1,           0,          3,         2,           0,          6
  3,             2,               1,              3,             3,               1,              4,         6,           3,          6,         3,           0,          6,         3,           0,         26
  4,             4,               2,              6,             6,               2,              6,        12,           6,         10,         4,           0,          6,         4,           0,         21
  5,             5,               2,              6,            10,               2,              7,        16,           6,         12,         6,           0,          8,         5,           0,         25
  6,            10,               6,             11,            15,               4,              9,        20,          10,         16,        11,           0,         12,         6,           0,         26
  7,            13,               8,             13,            21,               4,             11,        24,          10,         18,        14,           0,         15,         7,           0,         27
  8,            20,              15,             20,            28,               5,             14,        33,          13,         23,        16,           0,         16,         8,           0,         29
  9,            26,              20,             25,            36,               6,             17,        42,          18,         30,        20,           0,         19,         9,           0,         31
 10,            34,              27,             33,            45,               7,             21,        47,          19,         32,        21,           0,         21,        10,           0,         32
 11,            40,              32,             38,            55,               8,             25,        52,          20,         35,        26,           0,         54,        11,           0,         34
 12,            44,              35,             42,            66,               9,             28,        59,          21,         39,        31,           0,         27,        12,           0,         35
 13,            55,              45,             54,            78,               9,             32,        69,          27,         46,        36,           0,         30,        13,           0,         37
 14,            59,              48,             56,            91,              10,             37,        81,          28,         51,        36,           0,         32,        14,           0,         38
 15,            67,              55,             64,           105,              11,             42,        87,          31,         56,        41,           0,         35,        15,           0,         39
 16,            70,              57,             67,           120,              13,             48,        89,          31,         58,        45,           0,         38,        16,           0,         42
 17,            83,              69,             79,           136,              11,             52,        99,          37,         63,        50,           0,         41,        17,           0,         42
 18,            92,              77,             89,           153,              11,             58,        98,          35,         62,        56,           0,         44,        18,           0,         44
 19,            95,              79,             90,           171,              11,             65,       116,          41,         73,        59,           0,         47,        19,           0,         45
 20,           114,              98,            110,           190,              16,             73,       123,          36,         74,        62,           0,         50,        20,           0,         47
 21,           133,             116,            130,           210,              16,             81,       126,          44,         79,        67,           0,         53,        21,           0,         49
 22,           154,             136,            152,           231,              18,             86,       134,          48,         84,        70,           0,         55,        22,           0,         50
 23,           168,             149,            163,           253,              21,             95,       144,          47,         87,        79,           0,         60,        23,           0,         51
 24,           182,             162,            176,           276,              22,            101,       149,          48,         91,        84,           0,         64,        24,           0,         53
 25,           198,             177,            192,           300,              21,            109,       160,          51,         97,        90,           0,         67,        25,           0,         54
 26,           211,             189,            205,           325,              23,            192,       160,          53,        153,        88,           0,         86,        26,           0,         69
 27,           235,             212,            233,           351,              24,            128,       186,          64,        115,        97,           0,         73,        27,           0,         60
 28,           241,             217,            236,           378,              23,            138,       192,          59,        116,        99,           0,         76,        28,           0,         62
 29,           248,             223,            243,           406,              25,            147,       209,          59,        126,       103,           0,         80,        29,           0,         63
 30,           255,             229,            251,           435,              27,            157,       228,          69,        137,       111,           0,         89,        30,           0,         64
 31,           268,             241,            273,           465,              27,            169,       214,          69,        138,       113,           0,         89,        31,           0,         71
 32,           280,             252,            297,           496,              26,            180,       216,          66,        137,       121,           0,        102,        32,           0,         69
 33,           293,             264,            279,           528,              26,            186,       231,          70,        135,       126,           0,         87,        33,           0,         72
